sid,loam,ines,cala,calb,ec,pjm,pjmp,eitba,eortr,eci,maec,apeci,sta,stb,mana,mm,itmt,itbsm,prittda,aca,acb,fm
SD1020646,0,93,91,98,83,82,91,87,90,86,88,91,97,95,93,93,88,75,88,72,63,86
SD1020647,1,89,79,87,71,70,63,84,84,74,74,73,81,85,87,88,86,80,77,60,60,60
SD1020648,0,93,83,68,73,82,80,89,81,78,83,92,80,86,86,86,81,80,83,60,60,62
SD1020649,0,89,65,64,74,82,84,68,50,73,77,85,78,89,87,85,80,81,83,60,60,66
SD1020650,0,96,77,65,93,100,100,81,73,100,83,100,97,94,92,93,96,81,89,72,77,97
SD1020651,0,72,83,82,80,84,70,71,65,79,79,99,83,94,92,97,82,84,74,60,75,75
SD1020652,0,89,89,90,68,81,83,74,74,72,80,85,88,85,88,87,77,84,80,66,90,72
SD1020653,0,96,87,81,85,100,100,87,76,94,90,100,95,100,92,93,96,86,94,74,62,98
SD1020655,1,96,94,96,82,98,100,70,62,94,87,95,94,88,93,93,96,82,85,72,82,87
SD1020656,0,85,80,77,55,85,62,70,60,72,78,83,83,88,85,79,75,75,73,40,40,62
SD1020657,0,75,77,83,83,75,71,73,73,84,82,82,78,80,87,93,79,88,84,67,60,79
SD1020658,0,60,85,68,62,52,55,83,70,68,65,75,60,60,87,61,85,80,60,63,60,15
SD1020659,0,76,79,86,81,78,100,70,68,83,75,79,83,88,92,94,80,83,73,64,70,84
SD1020660,0,92,97,87,89,100,100,85,81,94,91,100,98,95,93,100,96,83,90,81,90,90
SD1020661,0,85,98,82,91,86,85,87,86,83,84,83,90,85,91,86,82,83,76,60,60,93
SD1020662,1,94,100,99,92,100,100,90,75,100,81,100,100,92,91,100,94,80,100,80,84,99
SD1020663,1,71,94,80,70,60,75,70,68,70,73,67,76,79,86,80,86,77,60,74,84,63
SD1020664,0,60,89,81,66,49,67,64,60,67,79,66,60,76,84,71,87,78,60,72,78,60
SD1020665,0,85,89,68,70,75,99,80,78,82,79,75,81,89,89,85,79,84,67,60,44,77
SD1020666,1,83,60,60,78,69,68,87,87,72,71,81,81,78,91,86,66,78,72,69,60,67
SD1020667,0,87,87,77,82,77,69,76,72,70,78,91,77,86,90,81,70,74,74,60,60,67
SD1020668,0,87,94,93,83,80,72,86,75,81,80,81,82,87,91,92,81,78,90,79,70,81
SD1020669,0,84,79,68,67,64,60,66,67,54,65,77,65,87,86,82,82,70,61,60,65,64
SD1020670,1,87,91,86,76,78,72,77,69,81,84,90,60,71,94,85,78,79,74,60,62,60
SD1020671,1,93,82,74,85,82,86,73,55,81,82,92,70,84,93,91,82,88,84,63,64,70
SD1020672,0,66,81,61,60,62,50,78,81,66,60,60,69,47,76,75,77,73,69,42,60,25
SD1020673,0,70,82,80,84,90,60,75,82,80,76,81,77,87,83,98,83,71,71,73,60,70
SD1020674,1,74,99,87,95,82,61,69,68,77,76,76,92,79,84,98,80,72,75,99,97,60
SD1020675,1,85,62,86,76,87,93,75,71,81,75,79,76,97,92,86,83,83,68,62,62,68
SD1020676,1,60,86,60,68,43,52,75,60,64,60,42,4,19,76,70,63,75,60,60,42,20
SD1020677,0,90,100,97,96,100,100,90,81,81,92,90,87,92,90,100,81,81,94,66,60,91
SD1020679,0,60,65,60,66,48,51,45,25,62,72,60,60,21,78,54,81,67,60,60,39,26
SD1020681,0,85,83,84,67,61,60,86,79,66,67,77,68,71,84,79,77,79,60,35,45,46
SD1020682,1,93,95,95,79,84,84,87,86,86,85,100,86,96,92,93,84,78,89,66,61,90
SD1020683,1,75,60,62,71,60,60,89,81,72,51,74,81,91,87,74,83,80,64,65,39,70
SD1020684,1,60,82,73,76,52,67,65,45,69,70,72,77,87,85,79,59,76,60,77,50,60
SD1020685,1,0,85,84,82,68,57,0,60,70,50,74,79,81,83,82,83,0,0,61,76,67
SD1020687,0,60,75,69,67,26,54,69,68,56,71,60,26,45,84,72,61,79,60,61,67,11
SD1020688,0,83,93,83,85,50,62,85,72,77,86,82,67,74,86,81,67,79,71,92,60,68
SD1020689,1,71,81,74,73,45,60,70,64,61,63,72,60,83,81,75,73,72,62,46,50,66
SD1020691,1,70,73,60,70,66,71,74,50,75,82,83,62,86,84,79,66,85,72,60,45,64
SD1020692,0,83,68,70,79,92,64,69,60,74,73,79,87,79,81,81,69,83,74,60,60,60
SD1020693,0,90,89,88,74,71,0,88,75,81,62,0,60,0,81,90,72,80,86,72,75,0
SD1020694,0,0,79,87,77,73,70,0,68,75,72,82,75,83,91,87,78,0,0,60,70,61
SD1020695,0,67,65,60,50,65,69,68,60,61,50,68,70,86,85,70,75,73,63,60,62,65
SD1020696,0,71,91,83,71,78,73,84,88,73,80,78,90,74,87,84,72,80,72,64,83,81
SD1020697,1,94,95,69,87,87,86,89,86,76,88,92,93,90,89,89,85,82,83,77,78,87
SD1020698,0,60,78,60,64,42,66,69,55,65,64,75,60,87,85,66,60,75,60,62,74,65
SD1020706,0,68,60,0,0,74,64,89,84,72,82,82,78,80,0,88,82,82,70,0,0,79
SD1020708,1,74,98,89,79,84,73,75,78,75,86,78,78,87,97,86,78,75,65,71,67,72
SD1020709,1,86,84,73,70,70,72,67,60,74,80,70,75,85,88,75,66,60,65,49,40,65
SD1020710,0,93,100,100,100,98,83,87,82,90,89,90,87,88,95,100,87,89,99,99,92,99
SD1020711,0,86,87,81,76,73,75,74,65,75,91,78,78,92,90,91,68,72,80,68,50,69
SD1020712,0,94,94,93,96,100,100,70,68,100,85,100,81,93,99,100,73,73,92,75,60,86
SD1020713,0,83,77,77,77,82,96,72,56,66,71,69,60,81,91,89,61,64,65,60,61,60
SD1020714,0,86,71,65,72,63,57,77,60,66,72,71,60,16,90,79,43,65,65,60,60,49
SD1020715,0,74,74,72,85,76,56,75,65,79,78,69,67,78,92,92,75,74,65,60,60,60
SD1020716,1,86,95,82,88,81,81,74,77,81,87,76,76,83,84,90,77,80,65,67,70,70
SD1020717,1,67,61,76,62,66,55,62,55,62,77,69,60,63,76,78,61,63,60,64,60,60
SD1020718,0,97,61,60,78,68,48,74,72,86,74,65,64,40,81,90,79,71,60,62,60,60
SD1020719,0,75,85,94,98,85,72,73,63,84,94,84,84,93,94,92,74,71,75,70,68,80
SD1020720,0,70,78,90,73,76,79,64,66,70,78,78,69,91,82,90,63,70,70,71,60,45
SD1020721,0,74,90,88,96,86,77,81,71,75,89,83,82,92,93,86,72,73,88,74,70,84
SD1020722,1,68,76,60,52,54,54,74,68,66,71,67,71,65,68,90,65,67,60,68,84,47
SD1020723,1,83,98,82,100,83,66,81,85,80,88,73,83,79,91,89,82,87,85,66,79,68
SD1020724,0,79,100,98,72,68,65,61,45,66,73,70,61,35,84,79,65,63,60,65,62,31
SD1020725,1,60,78,60,52,64,53,60,67,66,67,60,62,40,75,85,65,61,60,60,44,60
SD1020726,0,83,98,86,100,65,77,74,66,66,85,65,60,60,93,100,72,69,85,70,64,60
SD1020727,0,74,87,61,87,71,64,72,74,70,75,73,67,83,84,85,79,70,60,60,40,62
SD1020728,1,66,76,83,76,76,75,79,80,74,86,81,79,82,94,92,74,77,65,65,68,68
SD1020730,1,88,91,78,91,79,72,76,66,71,88,78,71,86,91,91,68,67,70,68,68,69
SD1020731,1,93,100,96,94,88,83,78,67,80,86,84,88,92,93,97,82,88,82,83,81,90
SD1020732,0,96,81,84,76,70,68,71,60,71,81,64,73,84,88,89,70,65,60,71,60,71
SD1020733,0,92,100,79,91,84,72,73,64,76,89,79,83,94,93,96,65,63,65,80,60,86
SD1020734,0,70,89,88,81,71,76,85,70,85,84,86,80,91,91,86,73,91,76,60,60,82
SD1020735,1,68,82,80,84,73,67,63,64,80,78,84,83,85,95,91,65,60,60,60,60,74
SD1020738,0,83,93,84,94,89,69,70,60,75,84,79,82,91,93,84,65,67,70,73,66,77
SD1020739,1,82,75,75,78,70,69,70,70,74,80,77,61,60,82,79,64,65,65,60,60,69
SD1020740,1,82,97,98,89,75,76,66,64,71,88,78,72,81,88,83,72,73,65,62,62,60
SD1020741,0,87,100,99,83,82,65,68,65,80,91,84,83,86,84,83,65,70,67,79,63,86
SD1020742,0,72,100,88,87,61,65,83,74,79,87,81,65,79,84,90,67,74,80,63,60,85
SD1020743,0,82,92,82,55,85,70,73,65,73,85,74,80,84,79,92,78,74,70,79,64,65
SD1020744,1,94,74,74,72,79,76,65,52,67,73,71,70,86,75,81,61,60,60,60,41,63
SD1020745,0,79,89,93,89,75,68,68,66,82,84,81,60,77,85,81,74,75,70,60,69,61
SD1020746,1,94,99,100,89,100,100,66,61,82,77,85,86,91,89,93,73,76,76,67,60,76
SD1020747,0,93,100,90,93,96,93,90,77,91,91,91,89,96,100,100,94,95,86,84,81,87
SD1020748,0,89,83,94,71,76,60,74,65,71,89,79,75,73,80,85,78,78,80,69,83,61
SD1020749,0,94,87,67,95,80,99,69,66,83,80,83,84,91,90,88,64,65,76,82,60,74
SD1020750,0,86,68,76,78,77,90,82,75,81,86,76,70,87,85,89,70,65,78,60,60,68
SD1020751,1,82,96,84,90,86,73,84,83,82,89,86,82,89,89,95,81,74,68,63,60,76
SD1020752,1,79,70,91,86,76,60,69,60,72,77,67,61,78,86,83,64,72,85,77,67,70
SD1020753,1,93,82,84,91,94,84,74,63,83,89,84,82,94,87,95,60,66,86,72,64,81
SD1020754,1,82,60,60,68,68,48,69,60,75,70,71,60,60,78,73,65,63,67,65,60,60
SD1020755,0,72,72,85,71,63,71,81,73,72,71,75,69,89,83,86,69,70,65,60,60,63
SD1020761,0,98,0,0,85,0,0,76,72,95,0,90,80,97,74,98,94,76,92,61,92,90
SD1020762,0,78,92,83,66,0,0,66,0,89,81,84,93,88,60,60,75,60,61,70,75,60
