sid,loam,ines,care,cala,calb,ec,st,mana,sadm,mis,pom,itdc,cppg,dtst,oopg,pcpg,nwkpm,itdcn,inkpg,xmwd,idbs,dbms
SD1000636,1,90,86,91,73,88,85,77,84,72,81,78,60,78,65,69,80,84,82,80,78,83
SD1000637,0,91,87,79,85,84,80,78,76,87,78,78,62,71,66,77,85,86,89,81,66,89
SD1000638,0,80,87,96,92,85,88,90,74,80,86,75,78,77,67,64,86,90,83,85,89,91
SD1000639,0,83,89,83,60,77,64,74,62,67,80,66,68,62,64,72,85,88,87,70,77,91
SD1000640,0,91,82,81,68,77,81,80,81,84,87,70,63,73,60,77,81,83,70,63,68,92
SD1000641,0,88,69,95,93,78,75,69,67,81,81,70,66,75,63,62,90,89,71,76,62,88
SD1000642,0,74,49,65,15,69,69,79,66,71,75,74,62,60,42,60,71,50,60,75,60,83
SD1000643,0,69,60,60,22,72,60,60,62,50,71,66,78,55,61,63,40,35,88,47,16,50
SD1000644,1,97,86,78,84,78,93,93,77,88,87,83,84,79,61,67,93,88,79,91,77,94
SD1000645,0,86,62,82,87,79,83,73,72,60,69,84,60,62,76,72,90,76,90,84,63,80
SD1000646,0,87,66,65,60,73,67,62,68,78,75,75,61,63,64,62,60,60,67,60,73,83
SD1000647,0,91,75,70,60,72,69,80,72,74,84,68,60,69,61,75,85,74,92,75,65,90
SD1000648,1,78,86,74,62,81,76,90,80,88,81,78,75,62,74,75,74,84,71,93,77,95
SD1000649,1,94,90,94,90,85,97,94,84,98,91,76,93,78,71,78,87,84,92,94,88,92
SD1000650,0,82,78,60,60,75,60,74,60,71,67,71,60,65,63,72,60,68,60,60,65,85
SD1000651,0,70,69,50,60,84,81,74,80,83,79,73,51,65,68,67,70,73,60,74,55,82
SD1000652,0,78,81,76,62,85,79,68,76,73,85,73,60,67,63,67,87,88,63,88,70,90
SD1000653,0,77,68,78,60,72,67,65,63,66,75,69,54,60,64,76,60,75,73,68,75,89
SD1000654,1,88,46,60,64,75,62,64,66,86,78,66,60,69,62,67,60,47,60,66,71,72
SD1000655,0,77,60,61,60,77,60,63,68,70,76,74,67,55,65,65,72,70,46,60,75,89
SD1000656,1,83,71,64,62,79,66,74,76,80,77,65,60,60,65,67,63,73,45,67,82,87
SD1000657,0,64,60,60,64,71,67,74,77,72,67,67,63,72,71,72,60,45,46,29,70,90
SD1000658,0,91,91,90,82,82,79,79,82,87,82,79,64,73,65,71,93,93,86,83,76,90
SD1000659,0,95,77,60,60,78,87,83,40,91,78,78,60,76,64,60,70,79,44,65,63,89
SD1000660,1,93,75,86,93,86,79,71,70,85,85,71,81,71,56,65,75,83,72,64,65,89
SD1000661,0,73,83,50,1,72,60,68,39,50,63,64,51,56,53,50,50,36,39,0,63,50
SD1000663,0,91,82,89,73,78,100,92,75,95,93,83,84,82,60,68,87,90,60,75,83,90
SD1000664,1,75,75,81,68,78,72,61,52,71,62,76,53,60,64,68,74,65,34,60,60,50
SD1000665,0,71,81,83,60,84,67,66,73,71,74,74,69,70,74,74,78,77,67,85,60,89
SD1000666,0,89,91,60,60,78,65,79,72,66,74,73,60,63,64,61,62,79,70,62,80,80
SD1000667,0,92,93,100,100,87,94,77,80,90,85,81,51,76,66,68,84,89,79,91,91,92
SD1000668,1,78,65,63,60,79,75,69,74,74,78,65,62,71,68,61,70,78,68,60,70,89
SD1000669,0,65,60,73,66,82,76,70,74,61,69,72,60,71,67,83,81,85,86,60,63,87
SD1000670,0,84,86,65,60,74,64,67,61,73,70,65,60,63,63,60,60,60,47,60,66,80
SD1000671,0,80,70,60,60,73,74,90,85,98,82,67,79,64,70,77,79,80,60,76,62,87
SD1000672,0,93,78,92,85,91,83,89,77,85,79,83,69,65,65,71,85,85,60,62,66,89
SD1000673,1,0,0,50,23,73,18,63,27,0,40,75,49,63,70,60,40,26,0,0,55,0
SD1000675,0,0,0,60,6,71,25,55,51,0,0,65,60,66,39,60,22,16,0,66,70,0
SD1000676,1,85,92,88,97,81,91,87,86,87,89,80,75,79,70,88,92,90,64,94,64,89
SD1000677,0,81,89,79,60,81,65,74,72,78,77,69,70,53,71,66,65,85,50,62,62,90
SD1000678,0,81,74,96,97,90,98,96,77,78,93,73,76,86,69,86,98,91,100,100,93,92
SD1000679,0,84,85,77,60,80,64,75,74,88,75,79,65,56,64,68,69,79,79,71,71,90
SD1000680,1,86,78,81,68,83,79,75,80,76,84,67,63,69,54,67,82,78,84,75,67,91
SD1000681,0,88,80,87,60,82,82,86,74,87,88,69,70,75,66,60,83,83,60,73,65,92
SD1000682,0,95,82,72,87,78,79,71,80,92,77,78,78,75,71,68,70,76,61,76,60,80
SD1000683,1,60,0,60,60,73,60,63,67,64,66,70,51,58,60,66,50,60,31,30,60,80
SD1000685,0,90,74,84,81,80,78,77,76,82,85,78,80,78,73,65,85,87,63,80,64,91
SD1000686,1,90,76,81,60,78,84,75,80,68,94,80,60,78,73,67,71,77,69,76,85,91
SD1000687,0,80,82,86,60,79,69,65,60,68,66,75,60,68,56,69,60,60,61,40,55,89
SD1000688,0,87,87,74,60,78,69,68,65,74,66,81,53,63,57,65,68,69,10,40,55,83
SD1000689,1,82,76,62,60,85,87,89,80,78,81,78,83,79,61,81,95,95,96,94,70,92
SD1000690,1,65,73,60,60,74,75,94,82,83,77,83,74,76,60,72,92,47,66,61,63,90
SD1000691,0,91,60,68,64,80,66,70,61,74,70,74,60,69,63,68,44,71,61,74,60,50
SD1000693,0,95,89,83,61,78,93,91,86,93,84,69,80,79,62,68,87,73,71,85,72,93
SD1000700,1,82,68,70,78,78,62,60,91,78,68,69,99,91,98,99,79,83,100,91,61,93
SD1000703,0,80,88,60,60,86,65,83,92,60,82,51,27,75,32,60,82,68,34,62,75,89
SD1000704,0,82,88,89,77,95,65,77,76,94,87,62,60,66,40,60,69,79,84,75,67,90
SD1000705,0,62,86,90,67,81,72,75,95,75,75,50,65,84,66,65,76,87,100,73,67,91
SD1000706,1,78,65,60,60,65,62,77,70,40,48,58,8,49,16,60,60,60,30,60,55,50
SD1000707,1,72,79,68,45,68,67,80,76,60,61,51,12,43,15,60,50,62,20,60,53,50
SD1000708,0,85,88,93,88,92,96,85,98,85,77,70,91,92,86,91,98,93,100,86,70,92
SD1000709,1,82,92,76,60,80,67,80,75,80,67,71,62,48,60,62,66,89,62,68,73,84
SD1000710,0,80,78,71,60,75,66,78,91,60,66,60,49,60,31,60,80,81,69,75,64,72
SD1000711,1,81,47,74,78,87,73,83,77,73,71,73,63,79,61,63,91,92,64,72,66,50
SD1000713,1,78,85,100,80,92,81,80,78,83,74,81,93,66,65,93,88,91,100,87,69,90
SD1000714,1,88,86,98,88,89,81,87,87,85,71,63,72,79,60,72,76,95,68,71,82,92
SD1000715,0,89,86,91,80,94,87,93,85,88,85,67,44,82,35,60,89,93,64,75,87,89
SD1000716,0,84,86,60,66,88,72,81,90,50,70,63,60,77,37,60,62,89,84,68,72,75
SD1000717,0,92,97,98,85,96,92,90,95,98,90,80,60,84,64,60,94,94,91,85,84,94
SD1000718,1,81,71,66,70,85,68,80,91,77,68,78,41,73,35,60,50,83,60,70,74,74
SD1000719,1,77,85,98,88,92,70,80,89,75,83,80,61,80,60,61,71,91,60,66,70,92
SD1000720,0,83,73,60,60,85,74,79,81,50,73,60,60,67,32,60,60,71,41,61,60,85
SD1000721,1,79,85,60,60,78,67,81,70,80,79,71,41,75,60,60,92,91,64,71,78,50
SD1000722,0,73,74,83,60,91,77,75,85,74,83,66,60,68,60,60,60,79,48,74,67,91
SD1000723,0,73,91,73,63,75,60,74,93,60,68,66,36,73,60,60,60,80,61,65,57,50
SD1000724,0,80,70,88,84,86,74,78,85,75,80,72,63,73,60,63,71,83,70,68,74,62
SD1000725,0,79,81,68,62,78,67,75,81,81,95,60,49,61,60,60,72,78,82,66,71,90
SD1000726,1,72,78,79,62,60,63,81,84,50,55,42,34,70,19,60,64,84,16,68,49,70
SD1000727,0,85,61,80,64,81,73,86,82,70,72,69,60,61,28,60,60,74,60,60,73,87
SD1000728,0,87,91,60,64,94,77,91,89,94,91,71,42,78,27,60,91,85,60,76,86,90
SD1000731,0,76,54,69,60,88,62,73,70,60,62,64,60,61,34,60,64,65,40,60,64,50
SD1000732,1,73,80,60,60,82,60,70,87,60,64,63,61,56,32,61,60,48,41,67,60,50
SD1000734,1,80,85,94,78,94,90,79,95,90,71,76,74,76,62,74,71,83,84,75,75,91
SD1000735,0,78,92,81,66,89,62,79,83,66,75,66,48,55,60,60,79,77,60,72,73,72
SD1000740,1,83,74,77,71,81,64,78,84,72,79,71,64,76,36,64,69,69,100,74,69,88
SD1000741,0,92,91,98,100,87,100,96,90,88,95,83,67,81,60,67,95,90,60,81,85,90
SD1000742,1,86,90,73,60,79,60,79,80,72,81,43,37,42,14,60,43,77,49,60,65,86
SD1000743,1,0,0,60,60,80,60,70,70,0,41,60,60,40,36,60,60,45,0,69,56,0
SD1000744,0,80,71,80,60,83,71,82,85,71,66,67,60,63,30,60,60,74,64,60,62,90
SD1000746,0,78,91,98,79,91,69,82,89,60,76,70,61,60,39,61,87,84,60,67,69,50
SD1000747,0,80,73,66,60,81,60,78,86,62,60,67,18,52,12,60,83,81,60,65,68,75
SD1000748,0,77,65,70,44,88,65,75,82,85,67,46,23,52,16,60,60,76,60,65,56,75
SD1000751,0,73,75,72,60,87,60,81,86,75,74,74,62,71,34,62,60,74,13,68,60,75
SD1000752,1,76,76,60,62,83,64,82,81,85,71,73,61,76,35,61,67,86,65,67,66,74
SD1000753,0,77,79,78,60,76,60,81,87,60,60,72,64,79,61,64,60,90,60,76,65,87
SD1000754,1,73,67,69,60,73,64,80,87,65,68,69,76,53,64,76,71,73,60,80,54,90
SD1000755,1,79,75,60,60,69,60,82,80,50,61,67,40,75,27,60,60,71,60,67,67,86
SD1000756,1,89,81,64,70,84,84,83,89,90,91,61,48,72,60,60,73,83,87,73,81,94
SD1000765,0,99,84,60,60,72,62,79,70,90,64,50,60,23,65,72,15,12,62,60,60,89
SD1000766,1,68,94,69,60,90,63,91,74,90,79,69,69,60,60,67,60,79,66,61,75,71
SD1000767,1,67,90,84,74,85,76,86,63,95,79,62,73,63,80,82,60,60,65,70,74,91
SD1000768,0,74,76,60,60,75,77,82,67,85,73,44,64,60,74,66,76,60,84,79,67,84
SD1000769,0,68,61,73,60,85,61,77,76,92,77,58,65,71,61,66,60,43,80,68,87,88
SD1000770,0,48,87,84,70,80,73,77,80,88,85,68,74,69,85,77,80,86,83,79,92,68
SD1000771,0,90,93,84,60,78,66,77,72,98,78,69,61,68,78,79,68,60,92,63,88,92
SD1000772,0,71,89,94,67,80,81,84,70,93,82,71,67,65,80,80,72,78,78,64,78,99
SD1000773,1,43,69,60,60,72,73,86,64,88,69,58,37,60,6,60,60,17,53,61,80,69
SD1000774,0,94,85,63,60,85,70,86,60,80,73,67,60,33,68,75,61,67,65,66,71,91
SD1000775,0,77,81,69,60,87,82,81,77,90,88,68,62,75,61,70,67,73,88,69,88,81
SD1000776,0,93,87,93,96,81,93,93,82,98,83,91,81,67,94,92,97,97,95,95,83,83
SD1000777,0,96,84,77,77,93,82,86,88,94,88,78,67,67,87,74,64,66,90,73,77,92
SD1000778,1,92,91,88,60,79,82,81,76,92,74,69,74,61,84,80,60,70,87,80,80,97
SD1000779,1,88,76,60,60,71,80,83,66,93,77,68,60,83,85,67,80,24,88,78,70,85
SD1000780,0,69,79,60,60,77,60,80,73,96,76,60,49,60,75,60,52,36,81,72,91,76
SD1000781,0,89,79,70,68,85,80,83,80,89,87,68,62,81,80,71,61,36,89,68,76,90
SD1000782,1,75,81,100,100,94,92,80,73,95,92,74,65,78,77,79,72,75,75,64,77,98
SD1000783,1,61,67,60,63,77,72,77,68,88,79,74,83,88,93,94,97,86,94,81,97,78
SD1000784,0,98,84,91,60,87,81,88,73,95,76,73,70,72,77,82,63,62,83,90,79,94
SD1000785,0,90,84,73,63,86,72,78,80,95,80,54,53,60,73,60,67,60,87,76,84,84
SD1000786,0,5,1,60,25,60,60,40,0,85,32,61,54,0,0,61,18,38,5,19,0,68
SD1000788,0,91,91,89,85,87,84,90,84,98,83,68,60,75,80,78,75,60,75,81,93,79
SD1000789,0,75,68,60,60,78,86,83,60,62,70,82,62,36,60,67,31,67,60,71,60,73
SD1000790,0,60,66,91,91,82,79,81,40,62,67,77,70,21,93,85,34,96,85,60,71,88
SD1000793,0,89,82,83,69,93,86,80,70,98,80,74,70,73,72,80,64,74,90,72,88,92
SD1000794,1,80,85,60,60,90,69,87,80,82,75,70,61,63,72,77,81,74,70,79,76,84
SD1000795,0,85,77,74,60,90,65,78,84,95,77,62,63,72,91,72,60,63,80,84,90,72
SD1000796,1,0,0,60,31,64,60,69,25,50,43,64,40,0,65,60,1,16,0,19,5,23
SD1000797,1,85,78,63,60,79,74,78,70,88,78,71,71,80,79,79,77,91,88,77,82,80
SD1000799,1,22,39,66,60,77,69,80,60,76,65,72,75,61,93,81,63,81,63,85,61,65
SD1000801,0,80,87,60,72,82,73,84,71,80,79,76,68,70,88,70,68,92,81,85,76,91
SD1000802,0,20,53,73,89,74,61,78,81,90,77,74,59,76,85,65,61,60,75,93,77,74
SD1000803,0,86,90,69,60,91,78,76,84,96,82,74,69,64,73,75,73,70,76,74,87,80
SD1000804,0,60,74,90,83,91,93,77,67,90,79,84,84,89,94,95,83,94,94,81,89,95
SD1000805,0,93,84,69,60,69,63,73,83,90,81,57,60,60,71,70,60,60,90,68,80,86
SD1000806,0,95,90,81,60,91,82,85,67,90,81,74,69,60,94,78,86,82,81,78,76,92
SD1000807,0,60,82,63,68,77,60,73,70,88,77,57,63,33,64,66,39,64,77,61,70,85
SD1000808,0,60,73,67,60,87,74,78,60,93,81,73,64,45,72,77,70,85,68,72,84,88
SD1000809,0,0,0,71,60,78,69,72,46,0,71,58,64,60,65,66,31,12,0,70,79,0
SD1000810,0,90,84,78,60,88,83,80,84,95,83,69,63,60,61,71,72,64,80,74,89,76
SD1000811,0,65,64,72,60,77,69,76,70,91,69,79,70,71,85,79,74,71,79,79,80,74
SD1000812,0,60,74,66,60,88,86,83,72,89,81,57,63,65,77,70,42,71,65,70,78,85
SD1000813,0,83,93,86,79,95,84,83,80,93,79,74,70,68,78,80,75,61,90,67,96,89
SD1000814,0,25,79,63,60,76,75,82,67,88,69,72,65,43,83,75,41,82,68,61,69,60
SD1000815,0,5,0,40,24,62,60,44,23,75,60,68,53,0,79,66,1,31,0,50,32,1
SD1000817,0,40,76,60,32,42,70,73,71,85,79,69,78,60,68,85,67,71,74,92,85,76
