acyr,semr,sid,loam
102,1,SD1020647,44331
102,1,SD1020662,44331
102,1,SD1020663,44331
102,1,SD1020666,44331
102,1,SD1020670,44331
102,1,SD1020671,44331
102,1,SD1020674,44331
102,1,SD1020675,54331
102,1,SD1020676,59231
102,1,SD1020682,44331
102,1,SD1020683,47331
102,1,SD1020685,44331
102,1,SD1020686,44331
102,1,SD1020690,44331
102,1,SD1020691,44331
102,1,SD1020697,59231
102,1,SD1020707,44331
102,1,SD1020708,36082
102,1,SD1020709,23927
102,1,SD1020716,44331
102,1,SD1020722,44331
102,1,SD1020723,44331
102,1,SD1020725,47331
102,1,SD1020728,44331
102,1,SD1020731,0
102,1,SD1020735,44331
102,1,SD1020736,59231
102,1,SD1020739,47331
102,1,SD1020740,47331
102,1,SD1020744,44331
102,1,SD1020746,44331
102,1,SD1020751,44331
102,1,SD1020752,44331
102,1,SD1020753,44331
102,1,SD1020754,44331
102,1,SD1020769,44331
102,1,SD1020774,44331
102,1,SD1020775,44331
102,1,SD1020777,44331
102,1,SD1020778,44331
102,1,SD1020780,44331
102,1,SD1020786,44331
102,1,SD1020799,64331
102,1,SD1020800,44331
102,1,SD1020801,44331
102,1,SD1020805,47331
102,1,SD1020810,44331
102,1,SD1020811,44331
102,1,SD1020816,44331
102,1,SD1020818,44331
102,1,SD1020843,47331
102,1,SD1020845,44331
102,1,SD1020849,44331
102,1,SD1020852,44331
102,1,SD1020855,44331
102,1,SD1020859,44331
102,1,SD1020862,44331
102,1,SD1020866,59231
102,1,SD1020867,44331
102,1,SD1020868,47331
102,1,SD1020871,44331
102,1,SD1020872,44331
102,1,SD1020880,44331
102,1,SD1020882,44331
102,1,SD1020883,44331
102,1,SD1020885,47331
102,1,SD1020886,44331
102,1,SD1020888,44331
102,1,SD1020889,44331
102,1,SD1020912,45206
102,1,SD1020914,45206
102,1,SD1020915,56206
102,1,SD1020916,45206
102,1,SD1020919,45206
102,1,SD1020922,45206
102,1,SD1020928,45206
102,1,SD1020939,45206
102,1,SD1020943,45206
102,1,SD1020944,45206
102,1,SD1020950,45206
102,1,SD1020953,45206
102,1,SD1020955,45206
102,1,SD1020958,45206
102,1,SD1020960,45206
102,1,SD1020961,45206
102,1,SD1020963,57106
102,1,SD1020974,45206
102,1,SD1020975,45206
102,1,SD1020977,45206
102,1,SD1020980,56206
102,1,SD1020982,44331
102,1,SD1020987,45206
102,1,SD1020988,45206
102,1,SD1020993,45206
102,1,SD1021003,45206
102,1,SD1021005,45206
102,1,SD1021006,45206
102,1,SD1021009,45206
102,1,SD1021011,45206
102,1,SD1021014,45206
102,1,SD1021016,45206
102,1,SD1021019,45206
102,1,SD1021020,45206
102,1,SD1021021,45206
102,1,SD1021022,45206
102,1,SD1021025,57106
102,1,SD1021026,45206
102,1,SD1021037,45206
102,1,SD1021039,48206
102,1,SD1021041,45206
102,1,SD1021047,53206
102,1,SD1021049,56206
102,1,SD1021050,56206
102,1,SD1021052,45206
102,1,SD1021053,45206
102,1,SD1021055,24802
102,1,SD1021059,45206
102,1,SD1021069,45206
102,1,SD1021070,27595
102,1,SD1021074,45206
102,1,SD1021075,45206
102,1,SD1021083,45206
102,1,SD1021084,45206
102,1,SD1021086,45206
102,1,SD1021087,45206
102,1,SD1021088,45206
102,1,SD1021090,45206
102,1,SD1021094,53206
102,1,SD1021095,48206
102,1,SD1021096,54206
102,1,SD1021097,24802
102,1,SD1021107,45206
102,1,SD1021108,45206
102,1,SD1021109,56206
102,1,SD1021110,55027
102,1,SD1021112,45206
102,1,SD1021113,45206
102,1,SD1021116,45206
102,1,SD1021119,45206
102,1,SD1021121,45206
102,1,SD1021123,45206
102,1,SD1021133,45206
102,1,SD1021136,56206
102,1,SD1021146,45206
102,1,SD1021147,45206
102,1,SD1021152,45206
102,1,SD1021157,60106
102,1,SD1021160,45206
102,1,SD1021166,45206
102,1,SD1021170,57106
102,1,SD1021184,45206
102,1,SD1021186,45206
102,1,SD1021188,45206
102,1,SD1021195,45206
102,1,SD1021199,60106
102,1,SD1021200,45206
102,1,SD1021203,45206
102,1,SD1021206,45206
102,1,SD1021207,45206
102,1,SD1021208,45206
102,1,SD1021213,45206
102,1,SD1021216,44331
102,1,SD1021218,45206
102,1,SD1021228,12406
102,1,SD1021229,27595
102,1,SD1021236,48206
102,1,SD1021242,45206
102,1,SD1021243,31998
102,1,SD1021245,45206
102,1,SD1021251,45206
102,1,SD1021253,45206
102,1,SD1021254,56206
102,1,SD1021257,31998
102,1,SD1021260,45206
102,1,SD1021261,45206
102,2,SD1020647,44331
102,2,SD1020662,44331
102,2,SD1020663,44331
102,2,SD1020666,44331
102,2,SD1020670,44331
102,2,SD1020674,44331
102,2,SD1020675,44331
102,2,SD1020676,55531
102,2,SD1020683,17331
102,2,SD1020686,44331
102,2,SD1020690,44331
102,2,SD1020691,59231
102,2,SD1020697,44331
102,2,SD1020707,44331
102,2,SD1020708,36082
102,2,SD1020709,23927
102,2,SD1020716,44331
102,2,SD1020722,44331
102,2,SD1020723,44331
102,2,SD1020725,47331
102,2,SD1020728,44331
102,2,SD1020730,52331
102,2,SD1020735,44331
102,2,SD1020736,9331
102,2,SD1020739,44331
102,2,SD1020744,44331
102,2,SD1020746,17331
102,2,SD1020751,17331
102,2,SD1020752,44331
102,2,SD1020754,44331
102,2,SD1020769,24231
102,2,SD1020775,44331
102,2,SD1020777,44331
102,2,SD1020780,44331
102,2,SD1020786,44331
102,2,SD1020789,44331
102,2,SD1020800,44331
102,2,SD1020801,44331
102,2,SD1020805,44331
102,2,SD1020810,44331
102,2,SD1020811,44331
102,2,SD1020816,44331
102,2,SD1020818,44331
102,2,SD1020843,44331
102,2,SD1020849,9331
102,2,SD1020852,44331
102,2,SD1020855,44331
102,2,SD1020859,44331
102,2,SD1020862,44331
102,2,SD1020866,9331
102,2,SD1020867,44331
102,2,SD1020868,44331
102,2,SD1020870,44331
102,2,SD1020871,44331
102,2,SD1020872,44331
102,2,SD1020880,44331
102,2,SD1020882,9331
102,2,SD1020883,44331
102,2,SD1020885,44331
102,2,SD1020886,44331
102,2,SD1020888,44331
102,2,SD1020889,44331
102,2,SD1020912,44331
102,2,SD1020914,44331
102,2,SD1020915,55331
102,2,SD1020916,22331
102,2,SD1020919,44331
102,2,SD1020939,44331
102,2,SD1020943,44331
102,2,SD1020944,44331
102,2,SD1020950,44331
102,2,SD1020953,44331
102,2,SD1020958,44331
102,2,SD1020960,44331
102,2,SD1020961,44331
102,2,SD1020963,66831
102,2,SD1020974,44331
102,2,SD1020975,44331
102,2,SD1020977,9331
102,2,SD1020980,52331
102,2,SD1020982,44331
102,2,SD1020984,44331
102,2,SD1020987,44331
102,2,SD1020988,44331
102,2,SD1020993,44331
102,2,SD1020999,44331
102,2,SD1021003,44331
102,2,SD1021005,44331
102,2,SD1021006,9331
102,2,SD1021009,44331
102,2,SD1021011,27331
102,2,SD1021014,44331
102,2,SD1021016,44331
102,2,SD1021019,44331
102,2,SD1021020,44331
102,2,SD1021021,44331
102,2,SD1021022,44331
102,2,SD1021025,44331
102,2,SD1021026,44331
102,2,SD1021037,45206
102,2,SD1021039,31998
102,2,SD1021045,45206
102,2,SD1021047,57106
102,2,SD1021049,45206
102,2,SD1021050,45206
102,2,SD1021055,24802
102,2,SD1021059,10206
102,2,SD1021061,45206
102,2,SD1021069,10206
102,2,SD1021070,27595
102,2,SD1021074,45206
102,2,SD1021075,45206
102,2,SD1021083,45206
102,2,SD1021086,45206
102,2,SD1021090,45206
102,2,SD1021094,53206
102,2,SD1021095,48206
102,2,SD1021096,22106
102,2,SD1021097,32801
102,2,SD1021107,45206
102,2,SD1021108,45206
102,2,SD1021109,45206
102,2,SD1021110,45206
102,2,SD1021113,45206
102,2,SD1021116,45206
102,2,SD1021119,45206
102,2,SD1021120,55972
102,2,SD1021121,45206
102,2,SD1021122,45206
102,2,SD1021123,45206
102,2,SD1021133,45206
102,2,SD1021136,53206
102,2,SD1021138,45206
102,2,SD1021146,45206
102,2,SD1021147,45206
102,2,SD1021152,45206
102,2,SD1021157,55331
102,2,SD1021160,44331
102,2,SD1021166,44331
102,2,SD1021170,44331
102,2,SD1021184,44331
102,2,SD1021186,9331
102,2,SD1021188,44331
102,2,SD1021195,44331
102,2,SD1021199,47331
102,2,SD1021200,44331
102,2,SD1021206,44331
102,2,SD1021207,44331
102,2,SD1021208,44331
102,2,SD1021216,44331
102,2,SD1021218,44331
102,2,SD1021228,11531
102,2,SD1021229,34720
102,2,SD1021242,22331
102,2,SD1021243,31123
102,2,SD1021245,59231
102,2,SD1021251,44331
102,2,SD1021253,44331
102,2,SD1021254,31123
102,2,SD1021257,31123
102,2,SD1021260,9331
102,2,SD1021261,44331
103,1,SD1020662,44928
103,1,SD1020663,44928
103,1,SD1020666,44928
103,1,SD1020670,44928
103,1,SD1020674,44928
103,1,SD1020675,44928
103,1,SD1020676,44928
103,1,SD1020682,44928
103,1,SD1020683,44928
103,1,SD1020686,44928
103,1,SD1020689,44928
103,1,SD1020691,44928
103,1,SD1020697,44928
103,1,SD1020705,44928
103,1,SD1020708,36576
103,1,SD1020709,24574
103,1,SD1020716,44928
103,1,SD1020722,44928
103,1,SD1020723,44928
103,1,SD1020725,47928
103,1,SD1020728,44928
103,1,SD1020730,44928
103,1,SD1020735,44928
103,1,SD1020736,44928
103,1,SD1020739,44928
103,1,SD1020740,44928
103,1,SD1020744,44928
103,1,SD1020746,44928
103,1,SD1020751,44928
103,1,SD1020752,44928
103,1,SD1020754,44928
103,1,SD1020760,44928
103,1,SD1020766,44630
103,1,SD1020769,59828
103,1,SD1020774,44928
103,1,SD1020775,44928
103,1,SD1020777,44928
103,1,SD1020780,44928
103,1,SD1020786,44928
103,1,SD1020789,44928
103,1,SD1020800,44928
103,1,SD1020801,44928
103,1,SD1020805,44928
103,1,SD1020807,44928
103,1,SD1020810,44928
103,1,SD1020818,44928
103,1,SD1020843,47928
103,1,SD1020845,44928
103,1,SD1020849,44928
103,1,SD1020852,44928
103,1,SD1020855,44928
103,1,SD1020859,44928
103,1,SD1020862,44928
103,1,SD1020866,44928
103,1,SD1020868,44928
103,1,SD1020870,44928
103,1,SD1020871,44928
103,1,SD1020872,31539
103,1,SD1020880,44928
103,1,SD1020882,44928
103,1,SD1020883,44928
103,1,SD1020885,30076
103,1,SD1020888,44928
103,1,SD1020914,44928
103,1,SD1020915,52928
103,1,SD1020916,44928
103,1,SD1020928,44928
103,1,SD1020939,44928
103,1,SD1020943,44928
103,1,SD1020944,44928
103,1,SD1020950,44928
103,1,SD1020953,44928
103,1,SD1020958,44928
103,1,SD1020960,44928
103,1,SD1020961,44928
103,1,SD1020974,44928
103,1,SD1020975,44928
103,1,SD1020980,52928
103,1,SD1020987,44928
103,1,SD1020988,44928
103,1,SD1020993,44928
103,1,SD1020999,44928
103,1,SD1021003,44928
103,1,SD1021005,44928
103,1,SD1021006,44928
103,1,SD1021009,44928
103,1,SD1021011,44928
103,1,SD1021014,44928
103,1,SD1021016,44928
103,1,SD1021019,44928
103,1,SD1021020,44928
103,1,SD1021021,44928
103,1,SD1021022,44928
103,1,SD1021023,44928
103,1,SD1021026,44928
103,1,SD1021037,45815
103,1,SD1021039,32426
103,1,SD1021041,45815
103,1,SD1021045,45815
103,1,SD1021047,57715
103,1,SD1021049,56815
103,1,SD1021052,45815
103,1,SD1021055,25461
103,1,SD1021059,45815
103,1,SD1021061,45815
103,1,SD1021069,45815
103,1,SD1021070,27963
103,1,SD1021074,45815
103,1,SD1021084,45815
103,1,SD1021086,45815
103,1,SD1021088,45815
103,1,SD1021090,45815
103,1,SD1021094,53815
103,1,SD1021095,48815
103,1,SD1021096,53815
103,1,SD1021103,45815
103,1,SD1021107,45815
103,1,SD1021110,45815
103,1,SD1021113,45815
103,1,SD1021116,45815
103,1,SD1021119,45815
103,1,SD1021120,55979
103,1,SD1021121,45815
103,1,SD1021122,45815
103,1,SD1021123,45815
103,1,SD1021133,0
103,1,SD1021136,53815
103,1,SD1021137,45815
103,1,SD1021146,45815
103,1,SD1021147,45815
103,1,SD1021152,45815
103,1,SD1021157,47928
103,1,SD1021160,44928
103,1,SD1021166,44928
103,1,SD1021170,44928
103,1,SD1021184,44928
103,1,SD1021186,44928
103,1,SD1021188,44928
103,1,SD1021195,44928
103,1,SD1021199,56828
103,1,SD1021200,44928
103,1,SD1021203,44928
103,1,SD1021206,44928
103,1,SD1021207,44928
103,1,SD1021208,44928
103,1,SD1021218,44928
103,1,SD1021229,27076
103,1,SD1021242,44928
103,1,SD1021243,31539
103,1,SD1021245,59828
103,1,SD1021251,44928
103,1,SD1021253,44928
103,1,SD1021254,31539
103,1,SD1021257,31539
103,1,SD1021260,44928
103,1,SD1021261,44928
103,1,SD1021265,44928
103,1,SD1021270,44928
103,1,SD1030090,52493
103,1,SD1030651,44928
103,1,SD1030652,47928
103,1,SD1030655,44928
103,1,SD1030657,44928
103,1,SD1030664,44928
103,1,SD1030668,44928
103,1,SD1030669,44928
103,1,SD1030671,44928
103,1,SD1030673,44928
103,1,SD1030675,44630
103,1,SD1030678,44928
103,1,SD1030681,44928
103,1,SD1030683,44928
103,1,SD1030687,44928
103,1,SD1030694,31539
103,1,SD1030695,44928
103,1,SD1030699,44928
103,1,SD1030717,44928
103,1,SD1030721,44928
103,1,SD1030723,44928
103,1,SD1030734,44928
103,1,SD1030739,44928
103,1,SD1030744,44928
103,1,SD1030745,44928
103,1,SD1030747,44928
103,1,SD1030748,44928
103,1,SD1030750,44928
103,1,SD1030751,44928
103,1,SD1030755,44928
103,1,SD1030766,27076
103,1,SD1030772,44928
103,1,SD1030779,44928
103,1,SD1030784,61828
103,1,SD1030786,44928
103,1,SD1030787,44928
103,1,SD1030790,55928
103,1,SD1030792,44928
103,1,SD1030796,44928
103,1,SD1030797,44928
103,1,SD1030802,44928
103,1,SD1030804,44928
103,1,SD1030811,44928
103,1,SD1030813,44928
103,1,SD1030835,44928
103,1,SD1030840,44928
103,1,SD1030845,44928
103,1,SD1030850,44928
103,1,SD1030861,44928
103,1,SD1030862,44928
103,1,SD1030866,44928
103,1,SD1030869,44928
103,1,SD1030873,44928
103,1,SD1030877,27076
103,1,SD1030878,27076
103,1,SD1030879,47928
103,1,SD1030913,45815
103,1,SD1030918,18150
103,1,SD1030919,52426
103,1,SD1030926,45815
103,1,SD1030929,45815
103,1,SD1030931,48815
103,1,SD1030933,32426
103,1,SD1030934,45815
103,1,SD1030936,45815
103,1,SD1030937,45815
103,1,SD1030943,45815
103,1,SD1030949,45815
103,1,SD1030954,45815
103,1,SD1030957,32426
103,1,SD1030960,45815
103,1,SD1030962,60715
103,1,SD1030980,35000
103,1,SD1030982,48815
103,1,SD1030983,59715
103,1,SD1030985,45815
103,1,SD1030986,45815
103,1,SD1030990,45815
103,1,SD1030993,45815
103,1,SD1030996,45815
103,1,SD1031003,14574
103,1,SD1031011,48815
103,1,SD1031013,45815
103,1,SD1031016,45815
103,1,SD1031018,45815
103,1,SD1031025,45815
103,1,SD1031028,60715
103,1,SD1031038,33411
103,1,SD1031039,56815
103,1,SD1031040,45815
103,1,SD1031041,45815
103,1,SD1031042,45815
103,1,SD1031045,56815
103,1,SD1031048,45815
103,1,SD1031052,36000
103,1,SD1031053,45815
103,1,SD1031056,45815
103,1,SD1031057,45815
103,1,SD1031061,45815
103,1,SD1031063,45815
103,1,SD1031064,45815
103,1,SD1031083,45815
103,1,SD1031084,45815
103,1,SD1031090,48815
103,1,SD1031091,45815
103,1,SD1031093,45815
103,1,SD1031095,53815
103,1,SD1031104,45815
103,1,SD1031107,45815
103,1,SD1031108,25461
103,1,SD1031110,45815
103,1,SD1031112,45815
103,1,SD1031114,48815
103,1,SD1031119,55815
103,1,SD1031121,28411
103,1,SD1031125,30963
103,1,SD1031130,48815
103,1,SD1031131,45815
103,1,SD1031132,45815
103,1,SD1031135,45815
103,1,SD1031136,45815
103,1,SD1031138,45815
103,1,SD1031143,45815
103,1,SD1031146,45815
103,1,SD1031147,45815
103,1,SD1031148,45815
103,1,SD1031149,45815
103,1,SD1031150,45815
103,1,SD1031152,32426
103,1,SD1031154,53815
103,1,SD1031166,48815
103,1,SD1031167,48815
103,1,SD1031170,45815
103,1,SD1031174,45815
103,1,SD1031183,48815
103,1,SD1031184,45815
103,1,SD1031191,27963
103,1,SD1031192,45815
103,1,SD1031194,56815
103,1,SD1031195,45815
103,1,SD1031199,45815
103,1,SD1031200,45815
103,1,SD1031202,32426
103,1,SD1031210,45815
103,1,SD1031211,48815
103,1,SD1031214,60715
103,1,SD1031219,45815
103,1,SD1031220,45815
103,1,SD1031225,48815
103,1,SD1031228,55815
103,1,SD1031231,45815
103,1,SD1031232,45815
103,1,SD1031238,45815
103,1,SD1031241,48815
103,1,SD1031243,45815
103,1,SD1031244,45815
103,1,SD1031245,48815
103,1,SD1031249,32426
103,1,SD1031250,45815
103,1,SD1031252,45815
103,1,SD1031254,45815
103,1,SD1031255,45815
103,1,SD1031256,45815
103,1,SD1031257,45815
103,1,SD1031258,45815
103,1,SD1031259,48815
103,1,SD1031266,30000
103,1,SD1031270,41079
103,1,SD1031327,14574
103,1,SD1031618,45815
103,2,SD1020655,59828
103,2,SD1020662,44928
103,2,SD1020663,44928
103,2,SD1020666,44928
103,2,SD1020670,17928
103,2,SD1020671,44928
103,2,SD1020674,44928
103,2,SD1020676,44928
103,2,SD1020683,44928
103,2,SD1020689,56828
103,2,SD1020691,44928
103,2,SD1020697,44928
103,2,SD1020705,44928
103,2,SD1020708,36576
103,2,SD1020709,24523
103,2,SD1020716,44928
103,2,SD1020722,44928
103,2,SD1020723,44928
103,2,SD1020725,44928
103,2,SD1020730,44928
103,2,SD1020735,44928
103,2,SD1020739,0
103,2,SD1020744,9928
103,2,SD1020746,17928
103,2,SD1020751,9928
103,2,SD1020752,44928
103,2,SD1020754,44928
103,2,SD1020760,44928
103,2,SD1020766,44928
103,2,SD1020769,24828
103,2,SD1020774,9928
103,2,SD1020775,32928
103,2,SD1020777,44928
103,2,SD1020780,44928
103,2,SD1020786,44928
103,2,SD1020789,44928
103,2,SD1020801,44928
103,2,SD1020805,44928
103,2,SD1020807,44928
103,2,SD1020810,44928
103,2,SD1020811,44928
103,2,SD1020816,44928
103,2,SD1020818,44928
103,2,SD1020836,44928
103,2,SD1020838,44928
103,2,SD1020843,59828
103,2,SD1020849,17928
103,2,SD1020852,44928
103,2,SD1020855,44928
103,2,SD1020859,44928
103,2,SD1020862,44928
103,2,SD1020866,9928
103,2,SD1020868,59828
103,2,SD1020871,22928
103,2,SD1020872,31539
103,2,SD1020880,44928
103,2,SD1020882,9928
103,2,SD1020883,44928
103,2,SD1020885,27076
103,2,SD1020888,44928
103,2,SD1020912,44928
103,2,SD1020914,44928
103,2,SD1020916,22928
103,2,SD1020939,44928
103,2,SD1020943,44928
103,2,SD1020944,44928
103,2,SD1020950,44928
103,2,SD1020953,44928
103,2,SD1020958,44928
103,2,SD1020974,9928
103,2,SD1020975,44928
103,2,SD1020980,17928
103,2,SD1020987,44928
103,2,SD1020988,44928
103,2,SD1020993,9928
103,2,SD1020999,44928
103,2,SD1021003,44928
103,2,SD1021005,44928
103,2,SD1021006,44928
103,2,SD1021009,44928
103,2,SD1021011,27928
103,2,SD1021014,44928
103,2,SD1021016,44928
103,2,SD1021019,44928
103,2,SD1021020,44928
103,2,SD1021021,44928
103,2,SD1021022,44928
103,2,SD1021023,44928
103,2,SD1021026,44928
103,2,SD1021037,44928
103,2,SD1021039,31539
103,2,SD1021041,45815
103,2,SD1021045,44928
103,2,SD1021047,56828
103,2,SD1021049,56815
103,2,SD1021050,10815
103,2,SD1021055,25411
103,2,SD1021059,10815
103,2,SD1021069,9928
103,2,SD1021070,27076
103,2,SD1021074,44928
103,2,SD1021086,45815
103,2,SD1021088,44928
103,2,SD1021090,44928
103,2,SD1021093,45815
103,2,SD1021094,53815
103,2,SD1021095,26815
103,2,SD1021096,20928
103,2,SD1021103,45815
103,2,SD1021107,45815
103,2,SD1021110,44630
103,2,SD1021113,45815
103,2,SD1021116,45815
103,2,SD1021119,10815
103,2,SD1021120,55091
103,2,SD1021121,45815
103,2,SD1021123,45815
103,2,SD1021136,44630
103,2,SD1021137,44928
103,2,SD1021138,45815
103,2,SD1021146,44928
103,2,SD1021147,44928
103,2,SD1021157,9928
103,2,SD1021160,44928
103,2,SD1021166,44928
103,2,SD1021169,44928
103,2,SD1021170,44928
103,2,SD1021184,44928
103,2,SD1021186,9928
103,2,SD1021188,44928
103,2,SD1021199,59828
103,2,SD1021200,44928
103,2,SD1021203,44928
103,2,SD1021206,44928
103,2,SD1021207,44928
103,2,SD1021218,44928
103,2,SD1021229,27076
103,2,SD1021242,22928
103,2,SD1021243,31539
103,2,SD1021245,56828
103,2,SD1021251,44928
103,2,SD1021253,44928
103,2,SD1021254,31539
103,2,SD1021257,31539
103,2,SD1021260,9928
103,2,SD1021261,44928
103,2,SD1021265,44928
103,2,SD1030090,52493
103,2,SD1030651,44928
103,2,SD1030652,44928
103,2,SD1030655,44928
103,2,SD1030657,27928
103,2,SD1030664,44928
103,2,SD1030669,44928
103,2,SD1030671,44928
103,2,SD1030673,44928
103,2,SD1030678,44928
103,2,SD1030681,44928
103,2,SD1030683,44928
103,2,SD1030686,44928
103,2,SD1030687,44928
103,2,SD1030694,44928
103,2,SD1030695,9928
103,2,SD1030696,44928
103,2,SD1030697,44928
103,2,SD1030699,44928
103,2,SD1030721,27076
103,2,SD1030734,44928
103,2,SD1030739,44928
103,2,SD1030745,44928
103,2,SD1030747,44928
103,2,SD1030748,44928
103,2,SD1030751,27928
103,2,SD1030755,44928
103,2,SD1030766,27076
103,2,SD1030772,44928
103,2,SD1030779,44928
103,2,SD1030784,57000
103,2,SD1030786,44928
103,2,SD1030787,44928
103,2,SD1030790,55928
103,2,SD1030792,44928
103,2,SD1030796,44928
103,2,SD1030797,44928
103,2,SD1030802,44928
103,2,SD1030811,44928
103,2,SD1030813,44928
103,2,SD1030845,44928
103,2,SD1030850,44928
103,2,SD1030861,44928
103,2,SD1030862,44928
103,2,SD1030866,22928
103,2,SD1030869,44928
103,2,SD1030873,44928
103,2,SD1030877,27076
103,2,SD1030878,27076
103,2,SD1030879,44928
103,2,SD1030912,44928
103,2,SD1030913,9928
103,2,SD1030919,44928
103,2,SD1030926,27928
103,2,SD1030929,27928
103,2,SD1030931,47928
103,2,SD1030933,31539
103,2,SD1030934,44928
103,2,SD1030936,27928
103,2,SD1030937,44928
103,2,SD1030949,44928
103,2,SD1030954,44928
103,2,SD1030960,27928
103,2,SD1030962,59828
103,2,SD1030980,44928
103,2,SD1030982,44928
103,2,SD1030983,44928
103,2,SD1030985,44928
103,2,SD1030986,22928
103,2,SD1030990,44928
103,2,SD1030993,44928
103,2,SD1030996,9928
103,2,SD1031003,13687
103,2,SD1031011,47928
103,2,SD1031016,44928
103,2,SD1031018,44928
103,2,SD1031024,44928
103,2,SD1031025,44928
103,2,SD1031028,32828
103,2,SD1031038,33410
103,2,SD1031039,45815
103,2,SD1031040,45815
103,2,SD1031041,33815
103,2,SD1031042,45815
103,2,SD1031045,23815
103,2,SD1031048,44928
103,2,SD1031053,44928
103,2,SD1031056,44928
103,2,SD1031057,10815
103,2,SD1031061,45815
103,2,SD1031063,9928
103,2,SD1031064,44928
103,2,SD1031083,45815
103,2,SD1031084,45815
103,2,SD1031090,45815
103,2,SD1031091,44928
103,2,SD1031093,17928
103,2,SD1031095,52928
103,2,SD1031098,57015
103,2,SD1031104,45815
103,2,SD1031107,44928
103,2,SD1031108,25411
103,2,SD1031110,45815
103,2,SD1031112,10815
103,2,SD1031114,48815
103,2,SD1031119,45815
103,2,SD1031121,25410
103,2,SD1031131,45815
103,2,SD1031132,45815
103,2,SD1031135,45815
103,2,SD1031136,45815
103,2,SD1031138,45815
103,2,SD1031143,45815
103,2,SD1031148,44928
103,2,SD1031149,44928
103,2,SD1031150,45815
103,2,SD1031152,31539
103,2,SD1031154,17928
103,2,SD1031166,44928
103,2,SD1031167,32928
103,2,SD1031173,44928
103,2,SD1031174,9928
103,2,SD1031175,59828
103,2,SD1031183,44928
103,2,SD1031184,44928
103,2,SD1031191,27076
103,2,SD1031192,44928
103,2,SD1031194,66439
103,2,SD1031195,44928
103,2,SD1031199,44928
103,2,SD1031200,44928
103,2,SD1031202,31539
103,2,SD1031206,52928
103,2,SD1031210,44928
103,2,SD1031211,44928
